Lev.YearMonth;Hämtställe;Hämtställe Gatuadress;Hämtställe Ort;Hämtställe Märkning;Artikel;RODkod;RodKodbeskr;EWCkod;Farligt avfall;Kvantitet kg
202301;05628151    Volvo Personvagnar AB (Göteborg);Amazonvägen;Göteborg;VHK;3283 FTI Plastförp, FNI;R3;R3 Recycled, incl metal scrap;150102;NEJ;50
202301;05628151    Volvo Personvagnar AB (Göteborg);Amazonvägen;Göteborg;VHK;3284 FTI Pappersförp, FNI;R3;R3 Recycled, incl metal scrap;200101;NEJ;10
202301;05628151    Volvo Personvagnar AB (Göteborg);Amazonvägen;Göteborg;VHK;3846 Wellpapp, löst;R3;R3 Recycled, incl metal scrap;200101;NEJ;10
202301;03764123    Volvo Personvagnar AB (Göteborg);Assar Gabrielssons Väg;Göteborg;Chang i Polestar-huset;3283 FTI Plastförp, FNI;R3;R3 Recycled, incl metal scrap;150102;NEJ;75
202301;03764123    Volvo Personvagnar AB (Göteborg);Assar Gabrielssons Väg;Göteborg;Chang i Polestar-huset;3284 FTI Pappersförp, FNI;R3;R3 Recycled, incl metal scrap;200101;NEJ;5
202301;03764123    Volvo Personvagnar AB (Göteborg);Assar Gabrielssons Väg;Göteborg;Chang i Polestar-huset;3846 Wellpapp, löst;R3;R3 Recycled, incl metal scrap;200101;NEJ;145
202301;0447318      Volvo Personvagnar AB (Göteborg);Assar Gabrielssons Väg;Göteborg;RV, Bilar och Tekn.supp, kundnr: 0447318;3431 Kontorspapper;R3;R3 Recycled, incl metal scrap;200101;NEJ;5
202301;0447318      Volvo Personvagnar AB (Göteborg);Assar Gabrielssons Väg;Göteborg;RV, Bilar och Tekn.supp, kundnr: 0447318;3846 Wellpapp, löst;R3;R3 Recycled, incl metal scrap;200101;NEJ;40
202301;0469510      Volvo Personvagnar AB (Göteborg);Miljöstation 2;Göteborg;RA 2:an;3909 Brännbart grovt/överstort;R1;R1 With energy recovery;191210;NEJ;2 600
202301;05190673    Volvo Personvagnar AB (Göteborg);Röra Byväg;Göteborg;CWT2;3921 Sammansatt avfall, bygg & riv;R1;R1 With energy recovery;170904;NEJ;2 530
202301;0468801      Volvo Personvagnar AB (Göteborg);Assar Gabrielssons väg 5;Göteborg;Rest. Jacob, kundnr: 0468801;3283 FTI Plastförp, FNI;R3;R3 Recycled, incl metal scrap;150102;NEJ;75
202301;03791647    Volvo Personvagnar AB (Göteborg);Assar Gabrielssons väg 9;Göteborg;Byggnad VB;3431 Kontorspapper;R3;R3 Recycled, incl metal scrap;200101;NEJ;50
202301;03791647    Volvo Personvagnar AB (Göteborg);Assar Gabrielssons väg 9;Göteborg;Byggnad VB;3846 Wellpapp, löst;R3;R3 Recycled, incl metal scrap;200101;NEJ;60
202301;05250022    Volvo Personvagnar AB (Göteborg);Parkering PVBL;Göteborg;Batlab Steg 3;8244 Grovt-överstort, bygg & riv;R1;R1 With energy recovery;170904;NEJ;3 800
202301;0469510      Volvo Personvagnar AB (Göteborg);Miljöstation 2;Göteborg;RA 2:an;3891 LDPE 80/20;R13;R13 Recycled, incl metal scrap;200139;NEJ;3 300
202301;0469510      Volvo Personvagnar AB (Göteborg);Miljöstation 2;Göteborg;RA 2:an;3846 Wellpapp, löst;R3;R3 Recycled, incl metal scrap;200101;NEJ;18 680
202301;05456355    Volvo Personvagnar AB (Göteborg);Designvägen;Göteborg;PV Miljö 1;3283 FTI Plastförp, FNI;R3;R3 Recycled, incl metal scrap;150102;NEJ;50
202301;05456355    Volvo Personvagnar AB (Göteborg);Designvägen;Göteborg;PV Miljö 1;3284 FTI Pappersförp, FNI;R3;R3 Recycled, incl metal scrap;200101;NEJ;15
202301;05456355    Volvo Personvagnar AB (Göteborg);Designvägen;Göteborg;PV Miljö 1;3431 Kontorspapper;R3;R3 Recycled, incl metal scrap;200101;NEJ;50
202301;0185512      Volvo Personvagnar AB (Göteborg);Gunnar Engellaus;Göteborg;Rest. Emma, kundnr: 0185512;3283 FTI Plastförp, FNI;R3;R3 Recycled, incl metal scrap;150102;NEJ;60
202301;0185512      Volvo Personvagnar AB (Göteborg);Gunnar Engellaus;Göteborg;Rest. Emma, kundnr: 0185512;3846 Wellpapp, löst;R3;R3 Recycled, incl metal scrap;200101;NEJ;80
202301;05119557    Volvo Personvagnar AB (Göteborg);Gunnar Engellaus väg;Göteborg;FNI - VAK Miljöstation;3440 Tissue;R3;R3 Recycled, incl metal scrap;200101;NEJ;140
202301;05318936    Volvo Personvagnar AB (Göteborg);Gunnar Engellaus väg;Göteborg;PVV Office Waste;3283 FTI Plastförp, FNI;R3;R3 Recycled, incl metal scrap;150102;NEJ;55
