Lev.YearMonth;HÑmtstÑlle;HÑmtstÑlle Gatuadress;HÑmtstÑlle Ort;HÑmtstÑlle MÑrkning;Artikel;RODkod;RodKodbeskr;EWCkod;Farligt avfall;Kvantitet kg
202302;03764123    Volvo Personvagnar AB (Gîteborg);Assar Gabrielssons VÑg;Gîteborg;Chang i Polestar-huset;3094 HushÜllsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;1 548
202302;0185512      Volvo Personvagnar AB (Gîteborg);Gunnar Engellaus;Gîteborg;Rest. Emma, kundnr: 0185512;3094 HushÜllsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;300
202302;03879145    Volvo Personvagnar AB (Gîteborg);John Bunyans vÑg 4;Gîteborg;PV Byggnad PVôL;3094 HushÜllsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;40
202302;05642202    Volvo Personvagnar AB (Gîteborg);UtrustningsvÑgen;Gîteborg;WPO TUN;3094 HushÜllsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;100
202302;0469544      Volvo Personvagnar AB (Gîteborg);VCI;Gîteborg;VCI, kundnr: 0469544;3094 HushÜllsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;500
202302;0178863      Volvo Personvagnar AB (Gîteborg);Volvo Jakobs vÑg;Gîteborg;PVH, kundnr: 0178863;3094 HushÜllsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;2 250
202302;0468785      Volvo Personvagnar AB (Gîteborg);Volvo Jakobs vÑg 3;Gîteborg;Rest. Hîjden, kundnr: 0468785;3094 HushÜllsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;1 008
202302;04363347    Volvo Personvagnar AB (Gîteborg);Volvo Jakobs VÑg/PVD Norra;Gîteborg;Rest. The Harvest (Volvo PVD);3094 HushÜllsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;2 814
202302;05190673    Volvo Personvagnar AB (Gîteborg);Rîra ByvÑg;Gîteborg;CWT2;3160 TrÑavfall mÜlat, bygg & riv;R1;R1 With energy recovery;170201;NEJ;3 700
202302;05668033    Volvo Personvagnar AB (Gîteborg);TunnelvÑgen;Gîteborg;Project - WPO PV Renovation;3160 TrÑavfall mÜlat, bygg & riv;R1;R1 With energy recovery;170201;NEJ;680
202302;0283077      Volvo Personvagnar AB (Gîteborg);PVRS Riskskjul Dîda dalen;Gîteborg;PV Styckegods Farligt Avfall;3221 FÑrg-, lack-, limavfall;R1;R1 With energy recovery;80111;JA;538
202302;04621678    Volvo Personvagnar AB (Gîteborg);Miljîstation RA;Gîteborg;FA Styckegods;3320 Isocyanater;R1;R1 With energy recovery;80501;JA;65
202302;05358114    Volvo Personvagnar AB (Gîteborg);Assar Gabrielssons vÑg;Gîteborg;Byggnad RB;3283 FTI Plastfîrp, FNI;R3;R3 Recycled, incl metal scrap;150102;NEJ;40
202302;05358114    Volvo Personvagnar AB (Gîteborg);Assar Gabrielssons vÑg;Gîteborg;Byggnad RB;3284 FTI Pappersfîrp, FNI;R3;R3 Recycled, incl metal scrap;200101;NEJ;80
